State ,City,Type,Category of ES,SO2 Annual average (µg/m3),Air quality of SO2,NO2 Annual average (µg/m3),Air quality of NO2,PM10 Annual average (µg/m3),Air quality of PM10
Andhra Pradesh,Chitoor,RIRuO,NA,4,Low,9,Low,39,Moderate
Andhra Pradesh,Guntur,RIRuO,NA,4,Low,10,Low,74,High
Andhra Pradesh,Hydrabad,RIRuO,NA,5,Low,29,Moderate,86,High
Andhra Pradesh,Kakinada,RIRuO,NA,4,Null,9,Null,59,Null
Andhra Pradesh,Kothagudem,RIRuO,NA,4,Low,9,Low,81,High
Andhra Pradesh,Kurnool,RIRuO,NA,4,Low,9,Low,82,High
Andhra Pradesh,Nalgonda,RIRuO,NA,4,Low,18,Low,75,High
Andhra Pradesh,Nellore,RIRuO,NA,4,Low,10,Low,63,High
Andhra Pradesh,Patencheru,RIRuO,NA,6,Low,22,Moderate,76,High
Andhra Pradesh,Ramagundam,RIRuO,NA,6,Low,11,Low,65,High
Andhra Pradesh,Tirupati,RIRuO,NA,4,Low,9,Low,37,Moderate
Andhra Pradesh,Vijaywada,RIRuO,NA,6,Low,11,Low,90,High
Andhra Pradesh,Warangal,RIRuO,NA,6,Low,11,Low,61,High
Andhra Pradesh,Vishakhapatnam,RIRuO,NA,13,Low,20,Low,80,High
Assam,Bongaigaon,RIRuO,NA,6,Low,13,Low,53,Moderate
Assam,Daranga,RIRuO,NA,6,Low,14,Low,56,Moderate
Assam,Dibrugarh,RIRuO,NA,6,Low,13,Low,42,Moderate
Assam,Golaghat,ES,Numaligarh,6,Low,15,Low,63,High
Assam,Guwahati,RIRuO,NA,6,Low,14,Low,93,Critical
Assam,Margherita,RIRuO,NA,9,Low,20,Low,53,Moderate
Assam,Lakhimpur,RIRuO,NA,6,Low,13,Low,64,High
Assam,Nagaon,RIRuO,NA,6,Low,13,Low,86,High
Assam,Nalbari,RIRuO,NA,6,Low,15,Low,95,Critical
Assam,Sibsagar,RIRuO,NA,6,Low,14,Low,99,Critical
Assam,Silchar,RIRuO,NA,6,Low,14,Low,78,High
Assam,Tezpur,RIRuO,NA,5,Low,12,Low,60,Moderate
Assam,Tinsukia,RIRuO,NA,6,Low,12,Low,56,Moderate
Bihar,Patna,RIRuO,NA,5,Low,47,High,174,Critical
Chandigarh,Chandigarh,RIRuO,NA,2,Low,16,Low,102,Critical
Chattisgarh,Bhillai,RIRuO,NA,9,Low,22,Moderate,106,Critical
Chattisgarh,Bilaspur,RIRuO,NA,8,Low,21,Moderate,Null,Null
Chattisgarh,Korba,RIRuO,NA,12,Low,20,Low,94,Critical
Chattisgarh,Raipur,RIRuO,NA,14,Low,42,High,293,Critical
Dadra & Nagar Haveli,Silvassa,RIRuO,NA,8,Low,19,Low,24,Null
Daman & Diu,Daman,RIRuO,NA,7,Low,20,Low,24,Null
Delhi,Delhi,RIRuO,NA,5,Low,57,High,222,Critical
Goa,Panaji,RIRuO,NA,4,Low,17,Low,87,High
Goa,Marmagao,RIRuO,NA,4,Low,19,Low,72,High
Goa,Vasco,RIRuO,NA,4,Low,18,Low,57,Moderate
Goa,Curchorem,RIRuO,NA,7,Low,16,Low,87,High
Goa,Codli,RIRuO,NA,9,Low,15,Low,76,High
Goa,Honda,ES,Sahyadri,13,Moderate,19,Moderate,184,Critical
Goa,Bicholim,RIRuO,NA,10,Low,16,Low,111,Critical
Goa,Amona,RIRuO,NA,11,Low,16,Low,79,High
Goa,Assanora,RIRuO,NA,9,Low,14,Low,78,High
Goa,Usgao,RIRuO,NA,15,Low,15,Low,125,Critical
Goa,Margao,RIRuO,NA,15,Null,23,Null,90,Null
Goa,Tilamol,RIRuO,NA,18,Null,25,Null,150,Null
Gujarat,Ahmedabad,RIRuO,NA,13,Low,25,Moderate,79,High
Gujarat,Anklesvar,RIRuO,NA,16,Low,26,Moderate,91,Critical
Gujarat,Jamnagar,RIRuO,NA,12,Low,25,Moderate,104,Critical
Gujarat,Rajkot,RIRuO,NA,13,Low,18,Low,98,Critical
Gujarat,Surat,RIRuO,NA,17,Low,26,Moderate,94,Critical
Gujarat,Vadodara,RIRuO,NA,17,Low,29,Moderate,88,High
